iter	Logloss
0	0.6483055028
1	0.6108191
2	0.5744794044
3	0.5420735497
4	0.5162545752
5	0.4893082652
6	0.4689476965
7	0.4488481117
8	0.4306514001
9	0.4141645218
10	0.3986486338
11	0.3878699647
12	0.3767553714
13	0.3662342426
14	0.3569658081
15	0.3487192752
16	0.3404748571
17	0.3329086677
18	0.3265479839
19	0.3201829768
20	0.3151950483
21	0.3109520639
22	0.3061909119
23	0.3015895285
24	0.2975865001
25	0.2931439872
26	0.2894640083
27	0.2869953368
28	0.2845040399
29	0.2812861935
30	0.2784480487
31	0.2763308436
32	0.2740348954
33	0.2714397582
34	0.2698804719
35	0.2684605822
36	0.2670159167
37	0.2651550709
38	0.2638506029
39	0.2624249101
40	0.2610682505
41	0.2593487821
42	0.2582207059
43	0.2570126506
44	0.255425198
45	0.2541853173
46	0.2533922082
47	0.2527598005
48	0.2520162634
49	0.2514185451
50	0.2501035415
51	0.249378019
52	0.2488009537
53	0.2480772827
54	0.2476561715
55	0.247056619
56	0.2464133931
57	0.2452459072
58	0.2445835451
59	0.2439999478
60	0.2433175843
61	0.2428041812
62	0.2417040457
63	0.2413789686
64	0.2405293276
65	0.2402231633
66	0.2396108404
67	0.2392468813
68	0.2387410625
69	0.2382607443
70	0.2377099635
71	0.2373276092
72	0.2368882612
73	0.2363560374
74	0.2360709123
75	0.2356884386
76	0.2350649961
77	0.234367722
78	0.2338904737
79	0.2335610358
80	0.2329270056
81	0.232743326
82	0.2325448058
83	0.2323076107
84	0.2320157066
85	0.2316963794
86	0.2306366714
87	0.2302791214
88	0.2299945106
89	0.2298224897
90	0.2296224301
91	0.2293256348
92	0.2288992547
93	0.2285600677
94	0.2284063654
95	0.2281102773
96	0.2272761603
97	0.2270788709
98	0.2260739802
99	0.225939708
100	0.2256344519
101	0.2254427891
102	0.2253537097
103	0.2250114229
104	0.2247680127
105	0.2243865039
106	0.2240399686
107	0.2239246134
108	0.2237579998
109	0.2233754987
110	0.2230201881
111	0.2227384167
112	0.2221414239
113	0.2218410921
114	0.2214869827
115	0.2213240176
116	0.2212140816
117	0.2211037212
118	0.2209889791
119	0.2208861714
120	0.2207916556
121	0.2206104234
122	0.2203619499
123	0.2202927571
124	0.2201267838
125	0.2200196711
126	0.2199081992
127	0.2195705082
128	0.2194525461
129	0.2183652995
130	0.2182783732
131	0.217974421
132	0.2178605177
133	0.2175897386
134	0.2174382343
135	0.2173124797
136	0.2171767744
137	0.2170121476
138	0.2163644147
139	0.2162213166
140	0.2160772852
141	0.2157809167
142	0.2156440329
143	0.2153352829
144	0.2150836121
145	0.2149694472
146	0.2147472998
147	0.214666216
148	0.2145713636
149	0.2145003825
150	0.2142975058
151	0.2140046295
152	0.2139181666
153	0.2135116092
154	0.2134241417
155	0.2132692552
156	0.2131901022
157	0.2131311944
158	0.2129544189
159	0.2128557155
160	0.2123637572
161	0.2123002456
162	0.2121663041
163	0.2120387075
164	0.2119645712
165	0.2118262611
166	0.2117101113
167	0.2114422428
168	0.2113355106
169	0.2112400889
170	0.2111740576
171	0.2110221126
172	0.2109426173
173	0.2108665025
174	0.2106906662
175	0.2104901824
176	0.2102947501
177	0.2102042223
178	0.2101159454
179	0.2100602613
180	0.2099965853
181	0.2099647534
182	0.2097674805
183	0.2097043206
184	0.2095635302
185	0.2094659333
186	0.2094029227
187	0.2092563219
188	0.2091976677
189	0.20903704
190	0.2089715318
191	0.2088942683
192	0.2088025716
193	0.2086569691
194	0.2085749596
195	0.208406144
196	0.2082610776
197	0.2081672838
198	0.2079022311
199	0.2077961146
200	0.2076806295
201	0.2074137938
202	0.2072604361
203	0.2072042196
204	0.2071015921
205	0.2070340368
206	0.2069474191
207	0.2068524693
208	0.206803085
209	0.2066515747
210	0.2065685853
211	0.2064121086
212	0.206304031
213	0.2062185897
214	0.2060824877
215	0.2060135997
216	0.2059447196
217	0.205843446
218	0.205307091
219	0.2047501949
220	0.2045397988
221	0.2043982114
222	0.2042903943
223	0.2042324249
224	0.2041496672
225	0.204077718
226	0.2039564782
227	0.2038193935
228	0.2037468958
229	0.2036833439
230	0.2036157067
231	0.2035852157
232	0.2035251069
233	0.2034837911
234	0.2034394702
235	0.2032693068
236	0.2031403268
237	0.2029885429
238	0.2029667271
239	0.2026602746
240	0.2025713533
241	0.2025101137
242	0.2024141107
243	0.2023590356
244	0.2023063399
245	0.2017332055
246	0.2016761325
247	0.2016278947
248	0.2014689211
249	0.2013998996
250	0.2012584983
251	0.2011396665
252	0.2009510107
253	0.2008235147
254	0.2007391202
255	0.2006881523
256	0.2005892401
257	0.2004651379
258	0.2003351926
259	0.2002994954
260	0.2001418756
261	0.2000699731
262	0.1999698101
263	0.1999017594
264	0.19963221
265	0.199511516
266	0.1994121638
267	0.19939091
268	0.1992894831
269	0.1992172664
270	0.1991127796
271	0.1990410569
272	0.1988432703
273	0.1987689087
274	0.1986384543
275	0.1986026442
276	0.1985400587
277	0.19847367
278	0.1983824587
279	0.1981323327
280	0.1980675326
281	0.1979847614
282	0.1977921569
283	0.1976859678
284	0.1975710235
285	0.1972654435
286	0.1972051087
287	0.1971606019
288	0.1970616012
289	0.1968718111
290	0.1967899353
291	0.196665243
292	0.1966103043
293	0.1964602643
294	0.1963706512
295	0.196242836
296	0.1961778361
297	0.1960831171
298	0.1959021674
299	0.1958210573
300	0.1957252327
301	0.1956215129
302	0.1954910356
303	0.1953674504
304	0.1951983917
305	0.1950924351
306	0.194940771
307	0.194909321
308	0.1948641868
309	0.1947788904
310	0.1946062957
311	0.1945271973
312	0.1943828712
313	0.1942646529
314	0.1941317853
315	0.194044099
316	0.1939872169
317	0.1939459339
318	0.1937974785
319	0.1937442678
320	0.1936497119
321	0.1935529179
322	0.1934536806
323	0.1933949487
324	0.1933686194
325	0.1932163146
326	0.192930615
327	0.1928258439
328	0.1927040503
329	0.1925926264
330	0.1924865889
331	0.1923952757
332	0.1922324949
333	0.1921201222
334	0.1921078975
335	0.1920401072
336	0.1919258866
337	0.1918489119
338	0.1917812277
339	0.1916142237
340	0.1915192307
341	0.1914351522
342	0.1912823464
343	0.1911753665
344	0.1910259065
345	0.190930431
346	0.1908094299
347	0.1906950545
348	0.190630153
349	0.1905268208
350	0.19043282
351	0.1903597297
352	0.1902492908
353	0.1901197809
354	0.1900568604
355	0.1899341574
356	0.1898611554
357	0.1898013982
358	0.1897268059
359	0.1896610848
360	0.1896063965
361	0.1895520215
362	0.189437945
363	0.189295936
364	0.1891911083
365	0.1891227674
366	0.1890625935
367	0.1887990462
368	0.1886830845
369	0.188552458
370	0.1884485515
371	0.1883786857
372	0.1883152364
373	0.1882652569
374	0.1881736466
375	0.1881441855
376	0.1881158057
377	0.1880377574
378	0.1879408786
379	0.1878580177
380	0.1878135336
381	0.18769693
382	0.1875980158
383	0.1875047188
384	0.1874759231
385	0.1874062018
386	0.1873690663
387	0.1873263944
388	0.1872488083
389	0.1871765841
390	0.187153944
391	0.1870290546
392	0.1869433178
393	0.1868423783
394	0.1867472656
395	0.1866614046
396	0.1865166447
397	0.1864414761
398	0.1863265757
399	0.1862444726
400	0.1861101924
401	0.1860211213
402	0.1859662136
403	0.1859549986
404	0.1858664882
405	0.1858303457
406	0.185632651
407	0.185554716
408	0.1854608772
409	0.1853802052
410	0.1853000178
411	0.1851874272
412	0.1851187945
413	0.1850589997
414	0.1850088008
415	0.1848963586
416	0.1848481407
417	0.1848077232
418	0.1847450844
419	0.1846444389
420	0.1845547225
421	0.1844617121
422	0.1844002883
423	0.1842666423
424	0.1842179974
425	0.1841574817
426	0.1841120023
427	0.1840674501
428	0.1839838088
429	0.1839095875
430	0.1838093897
431	0.1837402311
432	0.183695129
433	0.1836605052
434	0.1835570252
435	0.1835421952
436	0.1835030804
437	0.1834219767
438	0.183336226
439	0.183295523
440	0.1832146819
441	0.1831340117
442	0.183028729
443	0.1829325678
444	0.1828496164
445	0.1827657391
446	0.1827013717
447	0.1826362355
448	0.1825874154
449	0.1825065114
