iter	Passed	Remaining
0	97	97751
1	142	71062
2	251	83526
3	315	78436
4	359	71607
5	405	67173
6	449	63735
7	519	64371
8	564	62177
9	609	60382
10	656	59029
11	721	59428
12	767	58300
13	812	57199
14	860	56518
15	926	56982
16	971	56197
17	1017	55528
18	1064	54939
19	1131	55441
20	1182	55141
21	1232	54809
22	1289	54761
23	1353	55055
24	1405	54825
25	1467	54967
26	1535	55321
27	1586	55062
28	1634	54744
29	1686	54528
30	1736	54282
31	1795	54302
32	1840	53934
33	1885	53569
34	1931	53248
35	1989	53268
36	2033	52920
37	2076	52557
38	2122	52296
39	2165	51978
40	2217	51868
41	2272	51841
42	2317	51582
43	2356	51205
44	2397	50875
45	2438	50574
46	2487	50428
47	2525	50080
48	2565	49786
49	2604	49492
50	2645	49227
51	2697	49181
52	2736	48897
53	2777	48657
54	2814	48353
55	2854	48111
56	2907	48107
57	2941	47781
58	2975	47454
59	3007	47117
60	3040	46802
61	3078	46577
62	3122	46444
63	3154	46130
64	3185	45817
65	3215	45497
66	3247	45224
67	3278	44939
68	3325	44875
69	3359	44638
70	3391	44378
71	3426	44158
72	3457	43905
73	3493	43715
74	3535	43602
75	3564	43333
76	3593	43071
77	3623	42826
78	3650	42561
79	3679	42312
80	3712	42118
81	3752	42010
82	3782	41794
83	3812	41569
84	3841	41351
85	3871	41143
86	3902	40948
87	3934	40780
88	3975	40697
89	4003	40484
90	4032	40285
91	4062	40091
92	4093	39918
93	4137	39881
94	4188	39899
95	4226	39796
96	4261	39673
97	4295	39531
98	4330	39412
99	4360	39244
100	4397	39145
101	4421	38929
102	4449	38749
103	4477	38571
104	4504	38393
105	4529	38202
106	4555	38021
107	4584	37866
108	4628	37838
109	4662	37726
110	4702	37665
111	4727	37478
112	4752	37302
113	4777	37131
114	4805	36984
115	4841	36898
116	4870	36759
117	4894	36587
118	4919	36421
119	4958	36359
120	4996	36297
121	5027	36182
122	5065	36117
123	5090	35960
124	5117	35819
125	5143	35675
126	5170	35539
127	5195	35393
128	5221	35255
129	5254	35166
130	5287	35077
131	5311	34929
132	5334	34771
133	5357	34626
134	5381	34483
135	5404	34337
136	5429	34203
137	5455	34078
138	5498	34057
139	5522	33926
140	5546	33792
141	5570	33656
142	5597	33545
143	5622	33422
144	5645	33290
145	5679	33220
146	5711	33141
147	5735	33016
148	5757	32883
149	5780	32753
150	5803	32632
151	5828	32516
152	5853	32402
153	5876	32282
154	5909	32217
155	5940	32140
156	5968	32048
157	5990	31926
158	6012	31803
159	6035	31686
160	6064	31601
161	6101	31560
162	6134	31499
163	6183	31522
164	6204	31399
165	6227	31288
166	6249	31173
167	6271	31060
168	6294	30949
169	6321	30863
170	6343	30752
171	6366	30649
172	6389	30541
173	6411	30437
174	6434	30334
175	6457	30234
176	6483	30147
177	6506	30045
178	6533	29967
179	6556	29868
180	6596	29846
181	6615	29734
182	6639	29640
183	6663	29549
184	6686	29458
185	6709	29362
186	6734	29278
187	6775	29264
188	6803	29194
189	6837	29148
190	6867	29086
191	6896	29024
192	6926	28961
193	6955	28897
194	6987	28847
195	7023	28809
196	7052	28745
197	7080	28680
198	7112	28628
199	7141	28567
200	7169	28498
201	7202	28451
202	7236	28412
203	7265	28351
204	7294	28289
205	7323	28227
206	7352	28165
207	7380	28101
208	7411	28049
209	7447	28016
210	7475	27955
211	7505	27896
212	7534	27837
213	7562	27775
214	7591	27716
215	7619	27656
216	7659	27636
217	7690	27585
218	7719	27529
219	7750	27480
220	7778	27419
221	7808	27364
222	7841	27321
223	7876	27286
224	7905	27230
225	7934	27175
226	7965	27123
227	7993	27065
228	8024	27015
229	8055	26969
230	8091	26938
231	8120	26881
232	8149	26825
233	8177	26768
234	8204	26709
235	8234	26657
236	8266	26612
237	8304	26587
238	8332	26531
239	8361	26478
240	8390	26426
241	8418	26369
242	8448	26318
243	8479	26271
244	8514	26238
245	8545	26191
246	8573	26136
247	8600	26080
248	8630	26030
249	8658	25976
250	8690	25934
251	8725	25900
252	8757	25856
253	8787	25810
254	8816	25758
255	8845	25706
256	8874	25656
257	8907	25618
258	8944	25590
259	8973	25538
260	9000	25484
261	9030	25437
262	9058	25384
263	9087	25333
264	9119	25294
265	9155	25263
266	9186	25218
267	9212	25163
268	9240	25111
269	9268	25059
270	9297	25011
271	9326	24962
272	9364	24938
273	9394	24892
274	9422	24840
275	9450	24791
276	9479	24741
277	9507	24692
278	9538	24650
279	9578	24629
280	9606	24580
281	9635	24532
282	9666	24489
283	9695	24442
284	9724	24396
285	9759	24364
286	9796	24337
287	9825	24291
288	9854	24244
289	9883	24198
290	9913	24152
291	9942	24106
292	9977	24075
293	10017	24055
294	10046	24008
295	10075	23962
296	10104	23916
297	10132	23870
298	10163	23827
299	10197	23793
300	10231	23761
301	10260	23714
302	10290	23670
303	10318	23623
304	10347	23579
305	10376	23532
306	10410	23499
307	10446	23471
308	10475	23426
309	10503	23378
310	10530	23329
311	10558	23282
312	10587	23239
313	10620	23203
314	10658	23178
315	10687	23134
316	10716	23090
317	10745	23044
318	10782	23018
319	10818	22988
320	10870	22994
321	10905	22961
322	10934	22917
323	10962	22872
324	10990	22826
325	11020	22784
326	11056	22755
327	11092	22726
328	11122	22683
329	11150	22638
330	11180	22597
331	11208	22552
332	11238	22511
333	11274	22482
334	11301	22434
335	11330	22390
336	11359	22348
337	11387	22304
338	11416	22260
339	11445	22218
340	11475	22177
341	11513	22152
342	11542	22109
343	11572	22068
344	11603	22029
345	11631	21985
346	11695	22009
347	11786	22081
348	11856	22117
349	11943	22181
350	12025	22234
351	12096	22267
352	12172	22311
353	12264	22381
354	12342	22424
355	12428	22483
356	12508	22530
357	12582	22563
358	12660	22605
359	12730	22631
360	12798	22654
361	12866	22676
362	12969	22759
363	13043	22790
364	13118	22822
365	13199	22863
366	13286	22916
367	13359	22942
368	13443	22988
369	13528	23034
370	13604	23066
371	13687	23106
372	13779	23163
373	13852	23185
374	13940	23233
375	14015	23259
376	14083	23273
377	14167	23313
378	14262	23369
379	14339	23395
380	14422	23431
381	14508	23471
382	14581	23490
383	14670	23533
384	14751	23563
385	14826	23584
386	14908	23615
387	14994	23650
388	15065	23663
389	15153	23701
390	15236	23731
391	15314	23752
392	15394	23777
393	15486	23818
394	15560	23832
395	15648	23867
396	15737	23903
397	15811	23916
398	15903	23954
399	15986	23979
400	16062	23994
401	16149	24024
402	16230	24043
403	16296	24041
404	16381	24067
405	16470	24097
406	16501	24042
407	16524	23976
408	16549	23913
409	16572	23847
410	16599	23788
411	16631	23735
412	16653	23670
413	16677	23605
414	16698	23539
415	16722	23475
416	16744	23410
417	16766	23344
418	16790	23282
419	16818	23225
420	16847	23170
421	16871	23107
422	16893	23044
423	16917	22981
424	16940	22919
425	16962	22856
426	16984	22791
427	17006	22728
428	17035	22674
429	17064	22619
430	17087	22558
431	17110	22497
432	17131	22433
433	17153	22371
434	17177	22310
435	17198	22248
436	17220	22186
437	17246	22129
438	17280	22082
439	17302	22020
440	17325	21960
441	17350	21904
442	17374	21845
443	17396	21785
444	17420	21726
